empire/dynasty,established,disestablished,capital(s),language(s),present part of
,,,,,
"Brihadratha dynasty,
","1700 BCE
","682 BCE
","Girivraja,
","Vedic Sanskrit,
"," ,India,
"
"Gopala Dynasty,
","1400 BCE
","841 BCE
","Pashupatinath Temple,, ,Gaushala,, ,Kathmandu,
","Sanskrit,
","   ,Nepal,
"
"Pundravardhana Kingdom,
","1280 BCE
","345 BCE
","Mahasthangarh,
","Pali,, ,Sanskrit,
"," ,Bangladesh, ,India,
"
"Kuru Kingdom,
","1200 BCE
","345 BCE
","Āsandīvat,, ,Hastinapura,, ,Indraprastha,
","Sanskrit,
"," ,India,
"
"Anga Kingdom,
","1100 BCE
","525 BCE
","Champa,
","Prakrit,, ,Sanskrit,
"," ,India,
"
"Vidarbha Kingdom,
","1100 BCE
","500 BCE
","Kaundinyapur,
","Sanskrit,
"," ,India,
"
"Khasa Kingdom,
","1100 BCE
","500 BCE
","Kedarnath, ('Kedare-Khasa-Mandale')
","Sanskrit,, ,Prakrit,, ,Khas language,
","   ,Nepal, ,India,
"
"Panchala Kingdom,
","1100 BCE
","350 CE
","Ahichatra,, ,Kampila,
","Sanskrit,
"," ,India,   ,Nepal,
"
"Mahisapala dynasty,
","841 BCE
","679 BCE
","Kathmandu,
","Sanskrit,
","   ,Nepal, ,India,
"
"Gandhara Kingdom,
","800 BCE
","535 BCE
","Puṣkalavati,, ,Taxila,, ,Purushapura,
","Sanskrit,
"," ,Afghanistan, ,Pakistan,
"
"Kirata Kingdom,
","700 BCE
","300 CE
","Yalung,, ,Thankot,
","Kiranti languages,, ,Sanskrit,, ,Pali, ,Prakrit,
","   ,Nepal, ,Tibet, ,Bhutan, ,China, ,Pakistan,
"
"Kingdom of Kosala,
","700 BCE
","345 BCE
","Shravasti,, ,Ayodhya,
","Sanskrit,
"," ,India,   ,Nepal,
"
"Vajjika League,
","c. 6th century BCE
","c. 468 BCE
","Vaishali,
","Sanskrit,
"," ,India,   ,Nepal,
"
"Malla,
","c., 4th century, BCE
","c., 7th century,
","Kusinārā,, ,Pāvā,
","Prakrit,
"," ,India,   ,Nepal,
"
"Matsya Kingdom,
","700 BCE
","345 BCE
","ViratNagar,
","Sanskrit,
"," ,India,
"
"Surasena Kingdom,
","700 BCE
","345 BCE
","Mathura,
","Sanskrit,
"," ,India,
"
"Avanti Kingdom,
","700 BCE
","300 BCE
","Ujjayini,
","Sanskrit,
"," ,India,
"
"Asmaka Kingdom,
","700 BCE
","300 BCE
","Potali,
","Sanskrit,
"," ,India,
"
"Kingdom of Vatsa,
","700 BCE
","345 BCE
","Kauśāmbī,
","Sanskrit,
"," ,India,
"
"Shakya,
","700 BCE
","345 BCE
","Kapilavastu, ,Tilaurakot,, ,Nepal,
","Sanskrit,, ,Pali,
","   ,Nepal, ,India,
"
"Kingdom of Kashi,
","700 BCE
","345 BCE
","Banaras,
","Sanskrit,
"," ,India,
"
"Chedi Kingdom,
","700 BCE
","345 BCE
","Suktimati,
","Sanskrit,
"," ,India,
"
"Heheya Kingdom,
","
","
","Mahishmati,
","Sanskrit,
"," ,India,
"
"Pradyota dynasty,
","682 BCE
","544 BCE
","Rajagriha,
","Prakrit,, ,Sanskrit,
"," ,India,   ,Nepal,
"
"Haryanka Dynasty,
","554 BCE
","413 BCE
","Rajagriha,, ,Pataliputra,
","Prakrit,, ,Sanskrit,
"," ,India,   ,Nepal,
"
"Ror dynasty,
","450 BCE
","489 CE
","Rori,
","Sanskrit,
"," ,Pakistan,
"
"Shishunaga Empire,
","413 BCE
","345 BCE
","Rajgir,, ,Vaishali,, ,Pataliputra,
","Prakrit,, ,Sanskrit,
"," ,India,   ,Nepal,
"
"Paurava dynasty,[1],
","400 BCE
","301 BCE
","Punjab,
","Sanskrit,
"," ,India, ,Pakistan,
"
"Malava Empire,
","350 BCE
","650 CE
","Vidisha,
","Sanskrit,
"," ,India,
"
